,Agency,Requests Received
2595,Payette County Sheriff's Office,1
2596,Payne County Sheriff,1
2597,Peekskill City Police Department,1
2598,Pelham Manor Village Police Department,1
2599,Pembina County Sheriff's Office,1
2600,Pender County Sheriff's Office,1
2601,Richland County Sheriff's Office,1
2602,Pendleton City Police Department,1
2603,Penn Yan Village Police Department,1
2604,"Pennington County Sheriff's Office, Pennington County",1
2605,Perquimans County Sheriff's Office,1
2606,Perry County Sheriff's Department,1
2607,Perry Village Police Department,1
2608,Peru Police Department,1
2609,Pettis County Sheriff,1
2610,Pevely Police Department,1
2611,Phoenix Village Police Department,1
2612,Piatt County Sheriff's Office,1
2613,Picayune Police Department,1
2614,Pickens County Sheriff's Office,1
2615,Pico Rivera Police Department,1
2616,Palmyra Village Police Department,1
2617,Palmdale Police Department,1
2618,Palisades Interstate Parkway Police,1
2619,Pacific Community Police Station,1
2620,Old Brookville Village Police Department,1
2621,Old Westbury Village Police Department,1
2622,Olean City Police Department,1
2623,Olive Police Department,1
2624,Omega Police Department,1
2625,Oneida City Police Department,1
2626,Oneida County Sheriff's Office,1
2627,Oneonta City Police Department,1
2628,Ontario County Sheriff,1
2629,Ontario County Sheriffs Office,1
2630,Ontonagon County Sheriff,1
2631,Orangeburg County Sheriff,1
2632,Orem Police Department,1
2633,Orford Police Department,1
2634,Oro Valley Police,1
2635,Osage Beach Police Department,1
2636,"Oscoda County Sheriff, MI",1
2637,Ossining Village Police Department,1
2638,Ossipee Police Department,1
2639,Oswego City Police Department,1
2640,Oswego County Sheriffs Office,1
2641,Oswego Police Department,1
2642,Ouachita Parish Police Jury,1
2643,Ouachita Parish Sheriff's Office,1
2644,Overland Police Department,1
2645,Overton County Sheriff,1
2646,Owego Village Police Department,1
2647,Oxford Village Police Department,1
2648,Ozaukee County Sheriff,1
2649,Pierce County Sheriff's Office,1
2650,Pike County Sheriff,1
2651,Pine Lake Police Department,1
2652,Prairie Village Police Department,1
2653,Presque Isle County Sheriff's Office,1
2654,Preston County Sheriff's Department,1
2655,Preston Police Department,1
2656,Prince William County Sheriff,1
2657,Princeton Police Department,1
2658,Princeton Texas Police Department,1
2659,Princeton Township Police Department,1
2660,Public Safety Department,1
2661,Public Safety Personnel Retirement System,1
2662,Pulaski Village Police Department,1
2663,Pullman Police Department,1
2664,Purcellville Police Department,1
2665,Queen Creek Police Department,1
2666,Quitman County Sheriff's Department,1
2667,"Quitman County Sheriff's Office, Quitman County",1
2668,Quogue Village Police Department,1
2669,Raleigh County Sheriff's Office,1
2670,Rancho Cucamonga Sheriff,1
2671,Randall County Sheriff,1
2672,Rankin County Sheriff's Department,1
2673,Raymondville Police Department,1
2674,Red Bank Police Department,1
2675,Red Bluff Police Department,1
2676,"Red Lake County Sheriff's Office, Red Lake County",1
2677,"Redford Township Police Department, Redford Township",1
2678,Reno County Sheriff,1
2679,Rhinebeck Village Police Department,1
2680,Rhode Island Capitol Police,1
2681,Richfield Police Department,1
2682,Presidio Police Department,1
2683,Prairie County Sheriff's Office,1
2684,Pineville Police Department,1
2685,Poweshiek County Sheriff's Office,1
2686,Piscataquis County Sheriff,1
2687,Pittsfield Township Police Department,1
2688,Pittsylvania County Sheriff's Department (Virginia),1
2689,Plains Twp Police Department,1
2690,Plaquemines Parish Sheriff's Department,1
2691,Platte County Sheriff's Office,1
2692,Plattekill Town Police Department,1
2693,Pleasant Grove Police Department,1
2694,Pleasantville Village Police Department,1
2695,Poinsett County Sheriff's Office,1
2696,Point Pleasant Police Department,1
2697,Pointe Coupee Parish Sheriff's Office,1
2698,Police Department Parkersburg,1
2699,"Police Department, Anderson City",1
2700,"Police Department, Butte",1
2701,"Police Department, Records",1
2702,Police Dept,1
2703,"Police Dept, North Slope",1
2704,Pontotoc County Sheriff's Department,1
2705,Pooler Police Department,1
2706,Poplar Bluff Police Department,1
2707,Port Arthur Police Department,1
2708,Port Hueneme Police Department,1
2709,Porter County Sheriff,1
2710,Porterville Police Department,1
2711,Portville Village Police Department,1
2712,Potsdam Village Police Department,1
2713,Pottawatomie County Sheriff,1
2714,Pottawattamie County Sheriff,1
2715,Speedway Police Department,1
2716,Spotswood Police Department,1
2717,Spring Valley Village Police Department,1
2718,Webster Groves Police Dept,1
2719,Watauga Police Department,1
2720,Watchung Police Department,1
2721,Waterford Town & Village Police Department,1
2722,Waterloo Village Police Department,1
2723,Watertown City Police Department,1
2724,Waterville Police Department,1
2725,Watervliet City Police Department,1
2726,Waukesha County Sheriff,1
2727,Waupaca County Sheriff,1
2728,Waverly Village Police Department,1
2729,Weare Police Department,1
2730,Weatherford Police Department,1
2731,Weathersfield Police Department,1
2732,Webb Town Police Department,1
2733,Weedsport Village Police Department,1
2734,"Springfield, Oregon - Police Department",1
2735,Wellsville Village Police Department,1
2736,Wenatchee Police Department,1
2737,Wendover Police Department,1
2738,Wentworth Institute of Technology Police,1
2739,West Buechel Police Department,1
2740,West Carthage Village Police Department,1
2741,West Des Moines Police Department,1
2742,West Hempfield Township Police,1
2743,West Hennepin Police Department (minnesota),1
2744,West Hollywood Sheriff's Department,1
2745,West Lafayette Police Department,1
2746,West Lampeter Police,1
2747,West Richland Police Department,1
2748,West Union Police Department,1
2749,Watauga County Sheriff's Office,1
2750,Washingtonville Village Police Department,1
2751,Washington Parish Sheriff's Office,1
2752,Washington County Police Department,1
2753,Vernon Hills Police Department,1
2754,Vernon Parish Sheriff's Office,1
2755,Vestal Town Police Department,1
2756,Victoria County Sheriff,1
2757,Victorville Police Department,1
2758,Villa Park Police Department,1
2759,Villa Rica Police Department,1
2760,Village Police Department,1
2761,Wadsworth Police Department,1
2762,Wakulla County Sheriff's Office,1
2763,Walden Village Police Department,1
2764,Walker County Sheriff's Office,1
2765,Waller Police Department,1
2766,Wallkill Town Police Department,1
2767,Walpole Police Department,1
2768,Walthall County Sheriff's Department,1
2769,Walton County Sheriffs Office,1
2770,Walton Village Police Department,1
2771,Walworth County Sheriff's Department,1
2772,Ward County Sheriff's Office,1
2773,Ware County Sheriff,1
2774,Warner Police Department,1
2775,Warren County Sheriffs Office,1
2776,Warrenton Police Department,1
2777,Warsaw Police Department,1
2778,Warsaw Village Police Department,1
2779,Warwick Town Police Department,1
2780,Wasco County Sheriff,1
2781,Washakie County Sheriff's Office,1
2782,West Valley-Mission Community College District Police Department,1
2783,West Virginia Department of Military Affairs and Public Safety,1
2784,Westchester County Police Department,1
2785,Wise County Sheriff,1
2786,Wolfeboro Police Department,1
2787,Wood County Sheriff's Office,1
2788,Woodbury County Sheriff,1
2789,Woodbury Town Police Department,1
2790,Woodford County Sheriff's Office,1
2791,Woodlake Police Department,1
2792,Woodruff County Sheriff's Office,1
2793,Woodruff Police Department,1
2794,Worcester County Sheriff,1
2795,Worcester State University Police,1
2796,Worth County Sheriff's Office,1
2797,Wright Township Police Department,1
2798,Wyoming County Sheriff's Department,1
2799,Wyoming Police Department,1
2800,Xenia Police Department,1
2801,Yadkin County Sheriff's Office,1
2802,Yamhill County Sheriff's Office,1
2803,Yancey County Sheriff's Office,1
2804,Yankton Police Department,1
2805,Yates County Sheriffs Office,1
2806,York County Sheriff,1
2807,York County Sheriff's Office,1
2808,Yorktown Town Police Department,1
2809,Youngstown Police Department,1
2810,Yreka Police Department,1
2811,Yuba City Police Department,1
2812,Zachary Police Department,1
2813,Zebulon Police Department,1
2814,palestine police department,1
2815,Wixom Police Department,1
2816,Winthrop Police Department,1
2817,Westfield State University Public Safety,1
2818,Winston County Sheriff's Office,1
2819,Westfield Village Police Department,1
2820,Westhampton Beach Village Police Department,1
2821,Westmoreland County Sheriff,1
2822,Weston County Sheriff's Office,1
2823,Weston Police Department,1
2824,Wetumpka Police Department,1
2825,Wexford County Sheriff's Office,1
2826,Wharton Police Dept.,1
2827,Wheeling Police Department,1
2828,Wheelock College Department of Public Safety,1
2829,White County Sheriff's Office,1
2830,White County Sheriffs Office,1
2831,Whitefish Bay Police Department,1
2832,Whitehall Village Police Department,1
2833,Whitesboro Village Police Department,1
2834,Whiteside County Sheriff's Office,1
2835,Whitestown Town Police Department,1
2836,Whitfield County Sheriff's Office,1
2837,Wichita County Sheriff,1
2838,Wilkinson County Sheriff's Department,1
2839,Wilkinson County Sheriff's Office,1
2840,Williams Police Department,1
2841,Williamsport Police Department,1
2842,Willits Police Department,1
2843,"Wilshire Community Police Station, Wilshire Park",1
2844,Winnebago County Sheriff's Office,1
2845,Winooski Police Department,1
2846,"Winsted Police Department, Winsted",1
2847,Winston County Sheriff,1
2848,Vermont Capitol Police Department,1
2849,Venice Police Deparment,1
2850,Veazie Police Department,1
2851,Strathmoor Village Police Department,1
2852,"Sudbury, Ma Police Department",1
2853,Suffolk County Sheriff's Office,1
2854,Summit County Sheriff Office,1
2855,Sumter County Sheriff,1
2856,Sunflower County Sheriff's Department,1
2857,Sunnyside Police Department Records,1
2858,Susanville Police Department,1
2859,Susquehanna Regional Police Department,1
2860,Swain County Sheriff's Office,1
2861,Swanzey Police Department,1
2862,Swissvale Police Department,1
2863,Taliaferro County Sheriff's Office,1
2864,Tallahatchie County Sheriff's Department,1
2865,Tamworth Police Department,1
2866,Tarpon Springs Police Department,1
2867,Tarrytown Village Police Department,1
2868,Tattnall County Sheriff's Office,1
2869,Taylor County Sheriff,1
2870,Taylorsville Police Department,1
2871,Teaneck Police Department,1
2872,Tega Cay Police Department,1
2873,Temecula Police Department,1
2874,Texas City Police Department,1
2875,Texas County Sheriff's Office,1
2876,The Borough of Downingtown Police Department,1
2877,The Walker River Tribal Police,1
2878,Theresa Village Police Department,1
2879,Thomas County Sheriff,1
2880,Thomasville Police Department NC,1
2881,Sublette County Sheriff's Office,1
2882,Stratford Police Department,1
2883,Tippah County Sheriff's Department,1
2884,Strafford County Sheriff,1
2885,St Helena Parish Sheriff's Office,1
2886,St James Parish Sheriff's Office,1
2887,St John the Baptist Parish Sheriff's Office,1
2888,St Johns County Sheriff's Department,1
2889,St Johns County Sheriff's Office,1
2890,St Landry Parish Sheriff's Office,1
2891,St Martin Parish Sheriff's Office,1
2892,St Mary Parish Sheriff's Office,1
2893,St Tammany Parish Sheriff's Office,1
2894,St. Charles Police Department,1
2895,St. Francis County Sheriff's Office,1
2896,St. Johnsville Village Police Department,1
2897,St. Lawrence County Sheriff,1
2898,St. Louis County & Municipal Police Academy,1
2899,St. Louis County Sheriff,1
2900,St. Louis County and Municipal Police Academy,1
2901,"St. Louis Park Police Department, St. Louis Park",1
2902,St. Matthews Police Department,1
2903,Stafford Police Department,1
2904,Stallion Springs Police Department,1
2905,"Stanford University Department Of Public Safety, Stanford",1
2906,Stanly County Sheriff's Office,1
2907,Staunton City Police Department,1
2908,Stewart County Sheriff's Office,1
2909,Stillwater Town Police Department,1
2910,Stokes County Sheriff's Office,1
2911,Stone County Sheriff,1
2912,Stone County Sheriff's Office,1
2913,Stony Point Town Police Department,1
2914,Tioga County Sheriff,1
2915,Tippecanoe County Sheriff,1
2916,Varnell Police Department,1
2917,UCI Public Safety,1
2918,Uinta County Sheriff's Office,1
2919,Ulster County Sheriff,1
2920,Umatilla County Sheriff,1
2921,Unified Police Department Of Greater Salt Lake,1
2922,Union County Sheriff's Department,1
2923,Union County Sheriffs Office,1
2924,Union Parish Police Jury,1
2925,Union Parish Sheriff's Office,1
2926,University Of Minnesota Police Department,1
2927,University Of Montana Police Department,1
2928,University Of New Mexico Police Department,1
2929,University Of Virginia Police Department,1
2930,University Of Wisconsin - Milwaukee Police Department,1
2931,University of Alabama Police Department,1
2932,University of Kansas Medical Center Police Department,1
2933,University of Kentucky Police Department,1
2934,University of Maryland Department of Public Safety,1
2935,University of New Hampshire Police Department,1
2936,University of North Texas Police Department,1
2937,University of Oklahoma Police,1
2938,Upland Police Department,1
2939,Upshur County Sheriff,1
2940,Urbana Police Department,1
2941,Urbandale Police Department,1
2942,Vail Police Department,1
2943,Valley County Sheriff's Office,1
2944,Van Buren County Sheriff,1
2945,Van Buren County Sheriff's Office,1
2946,Vance County Sheriff's Office,1
2947,UCLA Police Department,1
2948,Tyrrell County Sheriff's Office,1
2949,Tishomingo County Sheriff's Department,1
2950,Tyrone Police Department,1
2951,Tom Green County Sheriff,1
2952,Toms River Police Department,1
2953,Tonganoxie Police Department,1
2954,Tooele County Sheriff's Office,1
2955,Toombs County Sheriff's Office,1
2956,Town of Beloit Police Department,1
2957,Towns County Sheriff's Office,1
2958,Townsend Police Department,1
2959,Tracy Police Department,1
2960,Transylvania County Sheriff's Office,1
2961,Travis County Sheriff,1
2962,"Trego County Sheriff's Office, Wakeeney Ks",1
2963,Treutlen County Sheriff's Office,1
2964,Trinidad Police Department,1
2965,Troup County Sheriff,1
2966,"Trousdale County Sheriff, Trousdale County",1
2967,Troy University Police Department,1
2968,Tuckahoe Police Department,1
2969,Tuftonboro Police Department,1
2970,Tufts University Police,1
2971,Tulare County Sheriff's Office,1
2972,Tulare Police Department,1
2973,Tunnel Hill Police Department,1
2974,Tupper Lake Village Police Department,1
2975,Turner County Sheriff's Office,1
2976,Twiggs County Sheriff's Office,1
2977,Twin Falls County Sheriff,1
2978,Twin Falls Police Department,1
2979,Tybee Island Police Dept,1
2980,Oktibbeha County Sheriff's Department,1
2981,Oglethorpe County Sheriff's Office,1
2982,Ogle County Sheriff's Office,1
2983,Ilion Village Police Department,1
2984,Hughes County Sheriff's Department,1
2985,Hughestown Police Deparment,1
2986,Humphrey County Sheriff's Department,1
2987,Hunter Town Police Department,1
2988,Hunterdon County Sheriff's Office,1
2989,Huntington Bay Village Police Department,1
2990,Huron City Police Department,1
2991,Huron County Sheriff,1
2992,Hurricane City Police Department,1
2993,Hutchinson Police Department,1
2994,Hyattsville Police Department,1
2995,Hyde County Sheriff's Office,1
2996,Hyde Park Town Police Department,1
2997,Iberia Parish Sheriff's Office,1
2998,Imperial Police Department,1
2999,Lapeer County Sheriff's Office,1
3000,Independence County Sheriff's Office,1
3001,Indian Hills Police Department,1
3002,Indiana Integrated Public Safety Commission,1
3003,Indiana University Police Department,1
3004,Ingram Police Department,1
3005,Inkster Police Department,1
3006,Inlet Town Police Department,1
3007,Interlaken Village Police Department,1
3008,Ionia County Sheriff's Office,1
3009,Iosco County Sheriff's Office,1
3010,"Iowa Department of Public Safety, Division of Criminal Investigation",1
3011,Iroquois County Sheriff's Office,1
3012,Irvington Village Police Department,1
3013,Irwinton Police Department,1
3014,Hudson Falls Village Police Department,1
3015,Hubbard Township Police Department,1
3016,Howard County Sheriff,1
3017,Houston County Sheriff's Office,1
3018,Highland Police Department,1
3019,Highlands County Sheriff's Office,1
3020,Hillside Police Department,1
3021,Hinesville Police Department,1
3022,Hocking County Sheriff,1
3023,Hoffman Estates Police Department,1
3024,Holbrook Police Department,1
3025,Holden Beach Police Department,1
3026,Holland Police Department,1
3027,Hollis Police Department,1
3028,Hollister Police Department,1
3029,Hollywood Park Police Department,1
3030,Holmes County Sheriff's Department,1
3031,Holyoke Police Department,1
3032,Homer Village Police Department,1
3033,Homerville Police Department,1
3034,Homestead Police Department (PA),1
3035,Hometown Police Department,1
3036,Honolulu Police Department–Kapolei Police Station,1
3037,Hooksett Police Department,1
3038,Hoosick Falls Village Police Department,1
3039,Hopewell Police Department,1
3040,Horn Lake Police Department,1
3041,Hornell City Police Department,1
3042,Horry County Sheriff's Office,1
3043,Horseheads Village Police Department,1
3044,Hot Spring County Sheriff's Office,1
3045,Hot Springs County Sheriff's Office,1
3046,Hot Springs Police Department,1
3047,Isanti County Sheriff,1
3048,Issaquena County Sheriff's Department,1
3049,Itasca County Sheriff,1
3050,Kennesaw State University Police,1
3051,Kensington Village Police Department,1
3052,Kershaw County Sheriff,1
3053,Key Colony Beach Police Department,1
3054,Kiefer Police Department,1
3055,Kings County Sheriff's Department,1
3056,Kingstree Police Department,1
3057,Kissimmee Police Department,1
3058,Kittson County Sheriff's Office,1
3059,Kyle Police Department,1
3060,La Crescent Police Department,1
3061,La Crosse Police Department,1
3062,La Paz County Sheriff,1
3063,Lackawanna City Police Department,1
3064,Lacy Lakeview Police Department,1
3065,Lafayette County Sheriff's Department,1
3066,Lafayette Parish Sheriff's Office,1
3067,Lake Arthur Police Department,1
3068,Lake Mills Police Department,1
3069,Lake Ozark Police Department,1
3070,Lake Shastina Police Department,1
3071,Lake Success Village Police Department,1
3072,"Lake Zurich Police Department, Illinois",1
3073,Lakeway Police Department,1
3074,Lakewood-Busti Village Police Department,1
3075,Lamar County Sheriffs Department GA,1
3076,Lancaster County Sheriff,1
3077,Lancaster Police Department,1
3078,Lander County Sheriff's Office,1
3079,Lanier County Sheriff's Office,1
3080,Kensington Police Protection and Community Services District,1
3081,Kenner Police Department,1
3082,Itasca Police Department,1
3083,Kennebunk Police Department,1
3084,Itawamba County Sheriff's Department,1
3085,Iuka Police Department,1
3086,Izard County Sheriff'S Office,1
3087,Jamestown City Police Department,1
3088,Jasper County Sheriff MO,1
3089,Jasper County Sheriff's Office,1
3090,Jasper County Sheriffs Office MS,1
3091,Jefferson County Sheriff's Department (wa),1
3092,Jefferson County TX Sheriff Office,1
3093,Jefferson Davis County Sheriff's Department,1
3094,Jersey County Sheriff's Office,1
3095,Jo Daviess County Sheriff's Office,1
3096,Johnson City Village Police Department,1
3097,Johnsonville Police Department,1
3098,Johnstown City Police Department,1
3099,Jones County Sheriff's Department,1
3100,Jones County Sheriffs Department,1
3101,Joplin Police Department,1
3102,Jordan Village Police Department,1
3103,Josephine County Sheriff's Office,1
3104,Junction City Police Department,1
3105,Justice And Public Safety Cabinet,1
3106,Kalkaska County Sheriff's Office,1
3107,Karnes County Sheriff,1
3108,Katy Independent School District Police Department,1
3109,Katy Police Department,1
3110,Kaukauna Police,1
3111,Kendall County Sheriff,1
3112,Kenmore Village Police Department,1
3113,Hialeah Gardens Police Department,1
3114,Hertford County Sheriff's Office,1
3115,Hernando Police Department,1
3116,Galloway Township Police Department,1
3117,Garden City Village Police Department,1
3118,Garland County Sheriff,1
3119,Garza County Sheriff's Office,1
3120,Gates County Sheriff's Office,1
3121,Gates Town Police Department,1
3122,Gatlinburg Police Department,1
3123,Gem County Sheriff's Office,1
3124,Genesee County Sheriff,1
3125,Genesee County Sheriff's Office,1
3126,Geneva City Police Department,1
3127,George County Sheriff,1
3128,Germantown Town Police Department,1
3129,Gibson County Sheriff,1
3130,Gila County Sheriff's Office,1
3131,Giles County Sheriff,1
3132,Gilroy Police Department,1
3133,Gladwin County Sheriff,1
3134,Glascock County Sheriff's Office,1
3135,Glen Cove Police Department,1
3136,Glen Ellyn Police Department,1
3137,Glen Park Village Police Department,1
3138,Glen Ridge Police Department,1
3139,Glenn County Sheriffs Office,1
3140,Glens Falls City Police Department,1
3141,Glenville Town Police Department,1
3142,Glenwood Springs Police Department,1
3143,Globe Sheriff's Office,1
3144,Gloucester County Sheriff's Office,1
3145,Gloversville City Police Department,1
3146,Galway Village Police Department,1
3147,Gaithersburg Police Department,1
3148,Golden Valley Police Department,1
3149,Gadsden County Sheriff's Office,1
3150,Fond du Lac Police Department,1
3151,Ford County Sheriff's Office,1
3152,Forest City Police Department,1
3153,Forrest County Police Department,1
3154,Forrest County Sheriff,1
3155,Fort Edward Village Police Department,1
3156,Fort Pierce Police Department,1
3157,Fort Plain Village Police Department,1
3158,Fort Scott Police Department,1
3159,Four Oaks Police Department,1
3160,Fox Valley Metro Police,1
3161,Framingham State University Police,1
3162,Franconia Police Department,1
3163,Frankfort Police Department,1
3164,Frankfort Town Police Department,1
3165,Frankfort Village Police Department,1
3166,Franklin County Sheriff's Department,1
3167,Franklin Township Police Department,1
3168,Fredericksburg Police Department,1
3169,Fredonia Village Police Department,1
3170,Freedom Police Department,1
3171,Freeport Village Police Department,1
3172,Fremont County Sheriff's Office,1
3173,Fridley Police Department,1
3174,Fullerton Police Department CA,1
3175,Fulton City Police Department,1
3176,Fulton County Police Department,1
3177,Fulton County Sheriff's Department,1
3178,Fulton Police Department,1
3179,Goffstown Police Department,1
3180,Gooding County Sheriff's Office,1
3181,Herkimer County Sheriff's Office,1
3182,Guilderland Police,1
3183,Gunnison Police Department,1
3184,Gurnee Police Department,1
3185,Haddon Heights Police Department,1
3186,Hadley Police Department,1
3187,Hagan Police Department,1
3188,Hale County Sheriff's Office,1
3189,Halifax County Sheriff's Office,1
3190,Hamburg Village Police Department,1
3191,Hamden Police Department,1
3192,Hamilton County Sheriff (ID),1
3193,Hamilton Village Police Department,1
3194,Hammondsport Village Police Department,1
3195,Hampton County Sheriffs Office,1
3196,Hancock County Sheriff,1
3197,Hancock County Sheriff's Department,1
3198,Hancock County Sheriff's Office,1
3199,Hanford Police Department,1
3200,Hardin County Sheriff,1
3201,Hardin County Sheriff's Office,1
3202,Hardin County Sheriffs Office,1
3203,Harriman Village Police Department,1
3204,Harrison County Sheriff,1
3205,Harrison Town Police Department,1
3206,Hart County Sheriff's Office,1
3207,Harwood Heights Police Department Illinois,1
3208,Haysville Police Department,1
3209,Henderson County Sheriff's Office,1
3210,Henrico County Sheriff,1
3211,Hercules Police Department,1
3212,Gulf Shores Police Department,1
3213,Guam Police Department,1
3214,Goshen County Sheriff's Office,1
3215,Guadalupe Police Department,1
3216,Goshen Police Department,1
3217,Gouverneur Village Police Department,1
3218,Gowanda Village Police Department,1
3219,Graham County Sheriff's Office,1
3220,Grantville Police Department,1
3221,Granville County Sheriff's Office,1
3222,Granville Village Police Department,1
3223,Gratiot County Sheriff,1
3224,Graves County Sheriff's Office,1
3225,Graymoor-devondale Police Department,1
3226,Great Barrington Police Department,1
3227,Great Neck Estates Village Police Department,1
3228,"Green Cove Springs, Police Department",1
3229,Green Island Village Police Department,1
3230,Greene County Sheriff's Department,1
3231,"Greene County, Ms Sheriff's Office",1
3232,Greenport Town Police Department,1
3233,Greenwich Village Police Department,1
3234,Greenwood Lake Village Police Department,1
3235,Greer Police Department,1
3236,Grenada County Sheriff's Department,1
3237,Gretna City Police Department,1
3238,Gretna Police Department,1
3239,Grosse Pointe Park Public Safety,1
3240,Groton Police Department,1
3241,Groton Village Police Department,1
3242,Grover Beach Police Department,1
3243,Grundy County Sheriff's Office,1
3244,Guadalupe County Sheriffs Office,1
3245,Lanier County Sheriffs Office,1
3246,Laramie Police Department,1
3247,Ogemaw County Sheriff,1
3248,"Mt Lebanon Police Department, Mt Lebanon",1
3249,Moore County Sheriff's Office,1
3250,Mooresville Police Department,1
3251,Morristown New Jersey Bureau Of Police,1
3252,Morton Police Department,1
3253,Moultonborough Police Department,1
3254,Moultrie Police Department,1
3255,Moundville Police Department,1
3256,Mount Joy Borough Police Department,1
3257,Mount Morris Village Police Department,1
3258,"Mount Olive Township Police Department, Budd Lake",1
3259,Mount Pleasant Town Police Department,1
3260,Mount Union Police Department,1
3261,Mount Vernon Police Department,1
3262,Mower County Sheriff's Department,1
3263,Mt Pleasant Police Department,1
3264,Larchmont Village Police Department,1
3265,Mt. Shasta Police Department,1
3266,Mukwonago Police Department,1
3267,Mundelein Police Department,1
3268,Murray Police Department,1
3269,Muscatine County Sheriff,1
3270,Muskogee County Sheriff,1
3271,Muttontown Village Police Department,1
3272,Myrtle Beach Police Department,1
3273,Nassau County Sheriff,1
3274,Natrona County Sheriff,1
3275,Navarro County Sheriff,1
3276,Needham Police Department,1
3277,Neshoba County Sheriff's Department,1
3278,Nevada City Police Department,1
3279,Moore County Sheriff,1
3280,Moody Police Department,1
3281,Montville Township Police Department,1
3282,Montville Police Department,1
3283,Miami Springs Police Department,1
3284,Miami Township Police Department,1
3285,Miami-Dade Schools Police Department,1
3286,Middlebury Police Department,1
3287,Middleport Village Police Department,1
3288,Middlesex County Sheriff,1
3289,"Middletown Police Department, Middletown Delaware",1
3290,Midway Police Department,1
3291,Millcreek Police Department,1
3292,Millen Police Department,1
3293,Millerton Village Police Department,1
3294,Minneapolis Parks Police,1
3295,Minocqua Police Department,1
3296,Mississippi County Sheriff,1
3297,Missouri Police Chiefs Association,1
3298,Mitchell County Sheriff's Office,1
3299,Mitchell Police Department,1
3300,Moffat County Sheriff's Office,1
3301,Monroe County Sheriff's Department,1
3302,Monroe Police Department,1
3303,Monroe Police Department Connecticut,1
3304,Monterey Police Department,1
3305,Montezuma Police Department,1
3306,Montgomery County Sheriff's Department,1
3307,"Montgomery County, Pa Sheriff's Office",1
3308,Montgomery Township Police Department,1
3309,Monticello Village Police Department,1
3310,Montmorency County Sheriff's Office,1
3311,Montrose Police Department,1
3312,New Berlin Police Department,1
3313,New Berlin Town Police Department,1
3314,New Bern Police Department,1
3315,North Castle Town Police Department,1
3316,North East King County Regional Public Safety Communications Agency,1
3317,North Greenbush Town Police Department,1
3318,North Hornell Village Police Department,1
3319,North Park Police Department,1
3320,North Salem Town Police Department,1
3321,North St Paul Police Department,1
3322,North Syracuse Village Police Department,1
3323,Northampton County Sheriff's Office,1
3324,Northeastern University Division of Public Safety,1
3325,Northport Village Police Department,1
3326,Northumberland County Sheriffs PA,1
3327,Northville Village Police Department,1
3328,Northwest Lancaster County Regional Police,1
3329,Norton police department,1
3330,Norwood Village Police Department,1
3331,Noxubee County Sheriff's Department,1
3332,Nueces County Sheriff,1
3333,Nunda Town & Village Police Department,1
3334,O'Fallon Police Department,1
3335,Oachita Parish Sheriff Office Louisiana,1
3336,Oakdale Police Department,1
3337,Oakley Police Department,1
3338,Ocean Isle Police Department,1
3339,Ocean View Police Department,1
3340,Oceana County Sheriff's Office,1
3341,Office of Public Safety Accountability,1
3342,Office of Public Safety and Homeland Security,1
3343,Ogden Town Police Department,1
3344,Ogdensburg City Police Department,1
3345,North County Police Cooperative,1
3346,North Bergen Police Department,1
3347,New Castle County Sheriff,1
3348,Norristown Police Department,1
3349,New Castle Police Department,1
3350,New Castle Town Police Department,1
3351,New Hanover Police Department,1
3352,"New Jersey Department Of Law And Public Safety, Division Of Gaming Enforcement",1
3353,New Lenox Police Department,1
3354,New Middletown Village Police Department,1
3355,New Richmond Police Department,1
3356,New York Mills Police,1
3357,New York State Municipal Police Training Council,1
3358,New York State Parks Police,1
3359,Newark Village Police Department,1
3360,Newberry County Sheriff's Office,1
3361,Newington Police Department,1
3362,Newnan Police Department,1
3363,Newport News Police Department,1
3364,Newton County Sheriff's Department,1
3365,Newton County Sheriff's Office,1
3366,Newton County Sheriffs Office,1
3367,Newton Fall Police Department,1
3368,Nez Perce County Sheriff's Office,1
3369,Nicholas County Sheriff,1
3370,Nicholls Police Department,1
3371,Niobrara County Sheriff's Office,1
3372,Niskayuna Town Police Department,1
3373,Nissequogue Village Police Department,1
3374,Nome Police Department,1
3375,Norfolk County Sheriff's Office Library,1
3376,Norfolk Town Police Department,1
3377,Normal Police Department,1
3378,Metuchen Police Department,1
3379,Merrimack Police Department,1
3380,Merriam Police Department,1
3381,Lincoln Park Police Department,1
3382,Lincolnshire Police Department,1
3383,Lincolnton Police Department,1
3384,Linden Police Department,1
3385,rancho cucamonga police department,1
3386,Litchfield Police Department,1
3387,Lithonia Police Department,1
3388,Little Falls City Police Department,1
3389,Littleton Police Department,1
3390,Liverpool Village Police Department,1
3391,Livingston County Missouri Sheriff,1
3392,Lloyd Harbor Village Police Department,1
3393,Locust Grove Police Department,1
3394,Lomita Sheriff’s Station - City of Rancho Palos Verdes,1
3395,Long County Sheriffs Office,1
3396,Long Hill Township Police Department,1
3397,Los Banos Police Department,1
3398,Los Gatos Monte Sereno Police Department,1
3399,Los Gatos/Monte Sereno Police Department,1
3400,Loudon County Sheriff,1
3401,Louisiana Department Of Public Safety And Corrections,1
3402,Lovejoy Police Dept,1
3403,Lower Makefield Township Police Department,1
3404,Lower Paxton Township Police Department,1
3405,Lower Salford Police Department,1
3406,Lowville Village Police Department,1
3407,Luce County Sheriff,1
3408,Lufkin Police Department,1
3409,Lumber City Police Department,1
3410,Lumpkin County Sheriff's Office,1
